;income;distance;lazy;transport;transport_id
48;157.0;6.0;6.0;bus 240;3
49;364.0;8.0;1.0;bus 40;2
50;674.0;8.0;5.0;car;1
51;265.0;11.0;4.0;bus 240;3
52;244.0;9.0;4.0;bus 240;3
53;296.0;8.0;6.0;bus 240;3
54;427.0;13.0;4.0;bus 40;2
55;0.0;7.0;1.0;car;1
56;516.0;5.0;7.0;car;1
57;336.0;6.0;8.0;bus 240;3
58;288.0;4.0;4.0;bike;0
59;152.0;5.0;3.0;bike;0
60;427.0;6.0;4.0;bike;0
61;513.0;6.0;1.0;bus 40;2
62;672.0;7.0;8.0;car;1
63;359.0;12.0;1.0;bus 40;2
64;127.0;8.0;3.0;bus 240;3
65;52.0;7.0;2.0;bike;0
66;642.0;10.0;4.0;car;1
67;217.0;7.0;9.0;bus 240;3
68;216.0;15.0;7.0;bus 40;2
69;131.0;7.0;9.0;bus 240;3
70;210.0;6.0;2.0;bike;0
71;405.0;8.0;7.0;bus 40;2
72;0.0;13.0;9.0;bus 240;3
73;176.0;8.0;7.0;bus 240;3
74;574.0;10.0;6.0;car;1
75;417.0;13.0;5.0;bus 40;2
76;452.0;14.0;1.0;bus 40;2
77;156.0;6.0;3.0;bike;0
78;95.0;6.0;1.0;bike;0
79;71.0;10.0;2.0;bike;0
80;396.0;4.0;8.0;bus 40;2
81;454.0;9.0;9.0;bus 40;2
82;0.0;8.0;5.0;bus 240;3
83;351.0;10.0;8.0;bus 40;2
84;134.0;7.0;6.0;bus 40;2
85;0.0;12.0;6.0;bus 240;3
86;532.0;6.0;6.0;car;1
87;253.0;6.0;9.0;bus 240;3
88;214.0;10.0;5.0;bus 240;3
89;117.0;11.0;4.0;bus 240;3
90;153.0;12.0;8.0;bus 240;3
91;74.0;6.0;5.0;bus 240;3
92;670.0;7.0;8.0;car;1
93;226.0;4.0;9.0;bus 240;3
94;433.0;5.0;4.0;bike;0
95;591.0;12.0;9.0;car;1
96;629.0;8.0;9.0;car;1
97;161.0;6.0;9.0;bus 40;2
98;126.0;12.0;9.0;bus 240;3
99;80.0;11.0;3.0;bus 240;3
100;264.0;7.0;3.0;bike;0
101;368.0;9.0;8.0;bike;0
102;93.0;6.0;8.0;bus 240;3
103;317.0;7.0;6.0;bus 240;3
104;427.0;6.0;5.0;bus 40;2
105;20.0;6.0;3.0;bike;0
106;2.0;8.0;4.0;bus 240;3
107;0.0;11.0;6.0;bus 240;3
108;309.0;14.0;9.0;bus 240;3
109;95.0;9.0;7.0;bus 240;3
110;219.0;7.0;4.0;bike;0
111;315.0;2.0;5.0;bike;0
112;571.0;5.0;3.0;car;1
113;196.0;12.0;5.0;bus 240;3
114;396.0;6.0;6.0;bus 40;2
115;482.0;7.0;8.0;bus 40;2
116;226.0;4.0;1.0;bike;0
117;360.0;5.0;2.0;bike;0
118;0.0;7.0;4.0;bike;0
119;44.0;7.0;2.0;bike;0
120;214.0;7.0;3.0;bike;0
121;431.0;10.0;7.0;bus 40;2
122;593.0;10.0;8.0;car;1
123;290.0;9.0;8.0;bus 240;3
124;193.0;5.0;6.0;car;1
125;377.0;7.0;1.0;bike;0
126;315.0;7.0;1.0;bike;0
127;368.0;4.0;2.0;bike;0
128;399.0;4.0;5.0;bus 40;2
129;173.0;6.0;6.0;car;1
130;347.0;7.0;1.0;bike;0
131;84.0;11.0;3.0;bus 240;3
132;183.0;14.0;6.0;bus 240;3
133;371.0;4.0;1.0;bike;0
134;488.0;9.0;1.0;bus 40;2
135;117.0;9.0;2.0;bus 240;3
136;130.0;7.0;8.0;bus 240;3
137;673.0;8.0;8.0;bus 240;3
138;273.0;8.0;8.0;bus 240;3
139;142.0;6.0;3.0;bike;0
140;0.0;6.0;9.0;bus 240;3
141;305.0;11.0;8.0;bus 240;3
142;237.0;7.0;4.0;bus 240;3
143;305.0;8.0;3.0;bus 240;3
144;424.0;10.0;8.0;bus 40;2
145;194.0;13.0;3.0;bus 240;3
146;387.0;8.0;3.0;bus 40;2
147;317.0;3.0;5.0;bike;0
148;217.0;3.0;5.0;bike;0
149;515.0;7.0;6.0;car;1
150;385.0;6.0;9.0;bus 40;2
151;385.0;3.0;4.0;bike;0
152;162.0;8.0;3.0;bus 240;3
153;358.0;4.0;5.0;bike;0
154;209.0;7.0;9.0;car;1
155;358.0;12.0;7.0;bus 40;2
156;394.0;9.0;8.0;bus 40;2
157;431.0;7.0;7.0;bus 40;2
158;627.0;6.0;6.0;car;1
159;0.0;5.0;4.0;bike;0
160;0.0;13.0;2.0;bus 240;3
161;265.0;4.0;9.0;bus 240;3
162;323.0;4.0;3.0;bike;0
163;247.0;5.0;9.0;bus 240;3
164;73.0;15.0;4.0;bus 240;3
165;55.0;7.0;8.0;bus 240;3
166;455.0;4.0;9.0;bus 40;2
167;95.0;10.0;4.0;car;1
168;89.0;11.0;7.0;bus 240;3
169;318.0;8.0;2.0;bus 240;3
170;52.0;6.0;9.0;bus 240;3
171;253.0;13.0;4.0;bus 240;3
172;539.0;9.0;8.0;car;1
173;63.0;9.0;5.0;bus 240;3
174;302.0;7.0;7.0;bus 240;3
175;71.0;11.0;8.0;bus 240;3
176;335.0;10.0;7.0;bus 240;3
177;302.0;8.0;1.0;bus 240;3
178;0.0;12.0;8.0;bus 240;3
179;134.0;6.0;8.0;bus 40;2
180;344.0;6.0;1.0;bike;0
181;382.0;9.0;5.0;car;1
182;86.0;4.0;6.0;bus 240;3
183;210.0;8.0;1.0;bus 240;3
184;28.0;5.0;5.0;bus 240;3
185;332.0;5.0;3.0;bus 40;2
186;3.0;7.0;8.0;bus 240;3
187;238.0;6.0;5.0;bus 240;3
188;313.0;5.0;8.0;bus 240;3
189;51.0;4.0;8.0;bus 240;3
190;0.0;7.0;6.0;bus 240;3
191;394.0;14.0;8.0;bus 240;3
192;11.0;10.0;9.0;bus 240;3
193;0.0;12.0;5.0;bus 240;3
194;311.0;7.0;9.0;bus 40;2
195;194.0;5.0;1.0;car;1
196;577.0;4.0;6.0;car;1
197;359.0;11.0;4.0;bus 40;2
198;111.0;2.0;3.0;bike;0
199;129.0;6.0;3.0;bike;0
200;303.0;4.0;4.0;bike;0
201;678.0;6.0;5.0;car;1
202;506.0;12.0;5.0;car;1
203;411.0;14.0;2.0;bus 240;3
204;759.0;6.0;4.0;car;1
205;159.0;9.0;1.0;bus 240;3
206;159.0;11.0;2.0;bus 240;3
207;178.0;11.0;3.0;bus 240;3
208;449.0;1.0;6.0;bike;0
209;113.0;4.0;5.0;bike;0
210;280.0;7.0;1.0;bike;0
211;411.0;12.0;6.0;bus 40;2
212;44.0;9.0;3.0;bus 240;3
213;131.0;12.0;9.0;bus 40;2
214;145.0;4.0;8.0;bus 240;3
215;462.0;11.0;2.0;bus 40;2
216;162.0;9.0;2.0;bus 240;3
217;201.0;10.0;6.0;bus 240;3
218;407.0;4.0;1.0;bike;0
219;201.0;6.0;6.0;bus 240;3
220;251.0;6.0;9.0;bus 240;3
221;290.0;5.0;4.0;bike;0
222;244.0;9.0;8.0;bus 240;3
223;358.0;9.0;1.0;bus 40;2
224;324.0;10.0;9.0;bus 240;3
225;219.0;11.0;9.0;bus 240;3
226;552.0;10.0;7.0;car;1
227;231.0;9.0;2.0;bus 240;3
228;85.0;6.0;3.0;bike;0
229;432.0;7.0;5.0;bus 40;2
230;109.0;10.0;5.0;bus 240;3
231;254.0;10.0;9.0;bus 240;3
232;300.0;6.0;7.0;bus 240;3
233;68.0;8.0;6.0;bus 240;3
234;243.0;9.0;3.0;bus 240;3
235;245.0;8.0;2.0;bus 240;3
236;267.0;10.0;1.0;bus 240;3
237;540.0;12.0;1.0;bus 40;2
238;185.0;8.0;4.0;bus 240;3
239;67.0;12.0;2.0;bus 240;3
240;0.0;7.0;2.0;bike;0
241;52.0;9.0;6.0;bus 240;3
242;201.0;5.0;6.0;bus 240;3
243;95.0;2.0;9.0;bus 240;3
244;286.0;14.0;4.0;bus 240;3
245;151.0;9.0;5.0;bus 240;3
246;311.0;12.0;7.0;bus 40;2
247;292.0;5.0;9.0;bus 240;3
248;85.0;14.0;6.0;bus 240;3
249;363.0;10.0;1.0;bus 40;2
